PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
46,0,3,Liam 46,male,,1,0,TKT000046,18.88,,Q
47,0,1,Mary 47,male,24.8,4,2,TKT000047,209.25,C23,S
48,1,2,Olivia 48,female,76.9,4,3,TKT000048,62.44,C23,C
49,1,3,Noah 49,female,26.5,3,3,TKT000049,20.78,,C
50,0,2,James 50,male,15.4,0,1,TKT000050,40.42,C23,S
51,0,3,John 51,male,44.9,0,2,TKT000051,20.69,,S
52,1,3,James 52,female,53.5,2,2,TKT000052,39.88,,Q
53,1,2,Robert 53,female,19.2,3,2,TKT000053,64.57,B45,Q
54,1,1,John 54,female,24.4,4,2,TKT000054,110.45,,Q
55,0,3,Alice 55,male,39.8,0,2,TKT000055,20.42,,C
56,1,1,James 56,male,6.9,3,1,TKT000056,79.84,A10,Q
57,1,2,Noah 57,female,24.5,1,1,TKT000057,54.12,A10,C
58,1,1,David 58,male,44.6,2,3,TKT000058,131.7,,S
59,0,2,Ava 59,male,50.4,1,0,TKT000059,45.51,C23,S
60,0,2,James 60,male,66.1,4,3,TKT000060,48.12,C23,C
61,0,3,William 61,male,,4,0,TKT000061,8.2,,Q
62,0,3,Olivia 62,female,,3,3,TKT000062,11.35,,S
63,1,2,Ava 63,female,26.4,4,0,TKT000063,44.7,D12,C
64,0,2,Sophia 64,male,10.2,0,1,TKT000064,69.5,D12,Q
65,0,3,Liam 65,female,50.4,3,0,TKT000065,20.33,,S
66,0,3,Michael 66,male,44.5,0,1,TKT000066,36.95,,C
67,1,3,Robert 67,female,33.8,4,1,TKT000067,10.06,,S
68,1,2,Ava 68,female,63.2,1,3,TKT000068,63.56,D12,Q
69,1,2,Sophia 69,female,61.3,1,3,TKT000069,72.18,,S
70,1,3,Alice 70,female,73.2,3,0,TKT000070,27.82,,S
71,1,1,Mary 71,female,35.8,3,2,TKT000071,141.39,B45,C
72,1,3,Mia 72,female,27.0,3,0,TKT000072,26.94,,Q
73,0,1,Alice 73,male,73.8,2,0,TKT000073,136.79,D12,S
74,1,1,Mary 74,female,30.6,4,3,TKT000074,156.23,,Q
75,0,2,William 75,male,12.3,4,1,TKT000075,35.32,C23,S
76,0,2,Robert 76,female,24.6,3,2,TKT000076,38.13,A10,Q
77,1,3,Liam 77,female,78.3,0,3,TKT000077,29.0,,C
78,0,3,William 78,male,18.3,1,0,TKT000078,31.86,,Q
79,0,2,Alice 79,male,3.6,4,2,TKT000079,74.58,B45,Q
80,1,1,Mary 80,female,66.2,1,1,TKT000080,211.3,,Q
81,1,3,William 81,female,63.5,2,3,TKT000081,28.55,,Q
82,1,1,Mia 82,female,38.2,2,3,TKT000082,238.63,D12,S
83,1,1,Sophia 83,male,25.0,4,1,TKT000083,69.44,E31,C
84,0,2,Emma 84,male,75.2,0,2,TKT000084,33.04,,Q
85,1,1,John 85,female,16.0,0,2,TKT000085,219.61,E31,S
86,0,3,Noah 86,male,66.6,1,0,TKT000086,13.15,,C
87,1,1,Emma 87,male,64.1,0,1,TKT000087,223.29,E31,C
88,0,1,John 88,male,42.6,4,2,TKT000088,205.6,E31,C
89,1,1,Olivia 89,male,67.9,1,0,TKT000089,71.59,C23,S
90,1,3,Olivia 90,female,44.3,3,0,TKT000090,20.88,,Q
91,0,3,Emma 91,male,61.7,3,3,TKT000091,13.0,,C
92,0,2,Sophia 92,male,53.5,0,2,TKT000092,75.38,A10,S
93,0,3,Sophia 93,male,45.4,0,2,TKT000093,37.94,,Q
94,1,2,Noah 94,female,41.1,2,1,TKT000094,70.84,A10,C
95,0,3,Emma 95,male,66.5,2,0,TKT000095,15.81,,S
96,0,3,Sophia 96,male,6.5,3,3,TKT000096,23.57,,C
97,0,2,William 97,male,26.6,0,2,TKT000097,73.0,A10,C
98,1,2,Michael 98,female,33.7,4,2,TKT000098,40.71,E31,S
99,0,2,Mary 99,male,5.3,0,3,TKT000099,66.04,,Q
100,1,1,Liam 100,female,43.1,0,3,TKT000100,161.74,,S
101,1,1,Emma 101,female,46.5,1,3,TKT000101,191.9,,Q
102,1,1,Emma 102,female,9.4,1,0,TKT000102,130.09,B45,Q
103,0,3,Robert 103,male,72.6,0,1,TKT000103,33.53,,C
104,1,1,William 104,male,61.1,4,2,TKT000104,204.57,D12,Q
105,1,1,Michael 105,female,38.0,3,0,TKT000105,209.27,,S
106,0,2,Michael 106,female,69.3,4,1,TKT000106,47.76,A10,C
107,1,3,James 107,female,5.9,1,0,TKT000107,30.0,,S
108,1,2,Noah 108,female,49.2,2,0,TKT000108,43.24,A10,C
109,0,3,Emma 109,male,23.4,0,1,TKT000109,35.56,,C
110,1,3,Noah 110,female,32.0,2,1,TKT000110,18.18,,Q
111,1,3,Noah 111,male,41.2,3,1,TKT000111,16.96,,S
112,1,1,Emma 112,male,67.7,4,1,TKT000112,204.17,,Q
113,1,1,Michael 113,female,66.7,4,2,TKT000113,137.53,,Q
114,1,1,Noah 114,female,25.4,2,3,TKT000114,217.02,D12,Q
115,1,1,Liam 115,female,64.3,4,0,TKT000115,100.0,A10,C
116,1,1,Mia 116,male,72.5,0,3,TKT000116,137.49,C23,S
117,1,3,Liam 117,female,31.5,2,1,TKT000117,8.47,,S
118,0,2,David 118,male,38.3,1,1,TKT000118,48.15,A10,Q
119,1,1,Ava 119,female,19.8,3,0,TKT000119,97.69,,Q
120,0,3,Mary 120,male,34.9,4,2,TKT000120,28.25,,S
121,0,2,Robert 121,male,4.4,0,2,TKT000121,64.84,,S
122,1,2,Mary 122,male,65.3,3,0,TKT000122,47.88,B45,C
123,1,1,Noah 123,male,71.0,1,2,TKT000123,112.02,A10,C
124,0,3,Sophia 124,male,10.8,2,1,TKT000124,36.31,,C
125,0,2,Mary 125,female,42.0,0,2,TKT000125,56.15,C23,Q
126,1,2,Sophia 126,female,57.7,2,0,TKT000126,46.83,E31,S
127,1,2,Mary 127,female,60.2,1,2,TKT000127,70.92,B45,C
128,1,3,Mary 128,female,,4,1,TKT000128,20.54,,Q
129,1,2,Noah 129,female,23.0,2,3,TKT000129,51.06,,S
130,1,3,Michael 130,female,39.8,0,2,TKT000130,36.45,,Q
131,0,3,Noah 131,female,43.8,2,1,TKT000131,27.32,,S
132,1,1,Mia 132,male,40.0,0,0,TKT000132,164.46,,C
133,0,3,Michael 133,female,42.5,3,2,TKT000133,27.48,,S
134,1,1,Liam 134,male,72.9,1,2,TKT000134,74.83,,Q
135,1,1,Olivia 135,female,51.2,4,1,TKT000135,75.03,B45,S
136,1,3,Robert 136,female,,4,3,TKT000136,14.26,,Q
137,0,2,Mary 137,male,44.1,0,1,TKT000137,34.69,D12,C
138,1,2,Sophia 138,female,27.9,1,2,TKT000138,39.16,,Q
139,0,2,Robert 139,male,10.7,1,2,TKT000139,23.04,D12,Q
140,1,1,Michael 140,female,40.4,1,1,TKT000140,149.75,E31,Q
141,1,1,Sophia 141,female,,1,2,TKT000141,226.47,A10,Q
142,1,2,David 142,female,32.6,4,0,TKT000142,53.19,E31,S
143,0,2,John 143,male,79.0,0,1,TKT000143,28.66,A10,Q
144,1,2,Olivia 144,female,12.8,2,3,TKT000144,39.11,C23,Q
145,1,2,Olivia 145,female,30.1,3,2,TKT000145,55.02,A10,Q
146,0,3,Sophia 146,male,,1,1,TKT000146,32.11,,S
147,1,1,Ava 147,male,,0,1,TKT000147,80.29,D12,Q
148,0,3,Emma 148,male,53.3,4,2,TKT000148,36.92,,Q
149,1,3,Noah 149,female,76.6,2,1,TKT000149,39.38,,Q
150,0,2,Ava 150,female,45.3,2,1,TKT000150,54.41,D12,C
151,0,2,Mia 151,male,7.2,4,2,TKT000151,64.84,C23,S
152,1,3,Mary 152,male,19.9,3,2,TKT000152,13.15,,Q
153,1,1,Emma 153,female,11.9,2,0,TKT000153,180.58,C23,S
154,1,3,Mia 154,male,68.2,0,3,TKT000154,34.32,,C
155,0,3,Emma 155,male,74.2,2,3,TKT000155,8.76,,Q
156,1,1,Alice 156,female,38.0,0,2,TKT000156,72.53,,C
157,1,1,Alice 157,male,51.5,3,2,TKT000157,135.54,,S
158,0,2,Emma 158,male,36.3,1,0,TKT000158,54.95,,Q
159,0,2,Mia 159,male,33.0,2,2,TKT000159,62.21,,Q
160,1,1,Noah 160,male,38.8,1,1,TKT000160,247.77,E31,Q
161,1,3,James 161,male,56.6,1,1,TKT000161,24.17,,S
162,1,3,John 162,female,54.7,3,1,TKT000162,20.59,,Q
163,1,2,Robert 163,female,45.1,4,0,TKT000163,21.31,,S
164,1,2,Alice 164,female,43.8,1,3,TKT000164,79.17,,C
165,1,2,Mary 165,female,72.6,1,3,TKT000165,59.71,C23,Q
166,0,3,Sophia 166,male,67.0,4,3,TKT000166,30.17,,S
167,0,2,Robert 167,male,22.8,1,0,TKT000167,26.77,A10,S
168,1,2,Ava 168,male,56.6,0,1,TKT000168,44.14,,Q
169,1,1,Alice 169,female,58.8,4,1,TKT000169,169.58,,C
170,0,2,Noah 170,female,75.9,4,2,TKT000170,45.63,D12,Q
171,0,2,James 171,female,30.7,3,3,TKT000171,38.04,A10,Q
172,0,2,John 172,male,17.1,2,3,TKT000172,70.83,B45,Q
173,0,1,Robert 173,male,61.2,1,0,TKT000173,145.88,A10,Q
174,1,1,David 174,female,56.6,2,2,TKT000174,97.87,C23,Q
175,1,2,Ava 175,female,78.5,1,1,TKT000175,74.86,E31,S
176,1,3,Ava 176,female,46.8,1,3,TKT000176,18.29,,Q
177,1,2,Alice 177,female,39.6,4,3,TKT000177,47.65,,S
178,0,3,Sophia 178,male,,1,1,TKT000178,31.75,,S
179,1,1,John 179,male,37.0,4,3,TKT000179,177.55,A10,S
180,0,3,Mia 180,male,43.3,1,0,TKT000180,20.07,,S
181,0,1,David 181,male,42.6,0,0,TKT000181,129.38,B45,S
182,1,2,Olivia 182,female,38.6,0,0,TKT000182,24.96,C23,S
183,1,3,Olivia 183,male,38.6,0,1,TKT000183,36.48,,C
184,0,1,William 184,male,60.4,4,2,TKT000184,65.39,D12,C
185,0,3,Emma 185,male,40.6,4,3,TKT000185,34.35,,C
186,0,3,William 186,male,79.4,4,3,TKT000186,20.11,,S
187,1,1,Mary 187,female,7.5,0,0,TKT000187,192.34,,C
188,1,2,Mary 188,female,9.1,2,0,TKT000188,53.42,,Q
189,1,2,Olivia 189,female,,4,1,TKT000189,63.49,B45,Q
190,1,1,Emma 190,female,24.8,2,1,TKT000190,62.65,A10,Q
191,1,3,Sophia 191,female,37.2,2,3,TKT000191,34.46,,C
192,1,3,Sophia 192,female,11.8,2,2,TKT000192,16.0,,Q
193,1,3,Robert 193,female,26.7,4,1,TKT000193,37.62,,Q
194,0,3,Noah 194,male,57.0,3,3,TKT000194,33.66,,S
195,1,1,James 195,female,13.2,3,0,TKT000195,125.4,E31,C
196,1,1,Noah 196,male,53.0,2,3,TKT000196,179.4,D12,S
197,1,1,Noah 197,male,41.3,4,1,TKT000197,166.1,,C
198,0,2,Michael 198,male,33.9,1,3,TKT000198,76.44,,C
199,1,1,William 199,female,56.0,1,1,TKT000199,110.05,A10,Q
200,0,3,William 200,male,45.2,3,3,TKT000200,11.46,,S
201,0,2,Mary 201,male,31.7,4,1,TKT000201,65.14,,C
202,1,1,Emma 202,female,21.7,3,1,TKT000202,177.82,C23,Q
203,1,3,Alice 203,female,54.1,4,3,TKT000203,18.07,,C
204,0,3,James 204,male,15.7,1,3,TKT000204,40.0,,C
205,1,1,James 205,male,36.6,3,3,TKT000205,121.81,E31,Q
206,1,2,Robert 206,female,36.1,4,2,TKT000206,67.75,,S
207,1,3,Ava 207,female,61.5,2,0,TKT000207,32.13,,Q
208,1,3,John 208,female,34.6,3,2,TKT000208,35.62,,C
209,0,2,William 209,male,10.3,3,1,TKT000209,64.26,E31,Q
210,1,1,David 210,male,64.6,4,2,TKT000210,156.46,C23,Q
211,0,1,Liam 211,male,63.1,2,1,TKT000211,223.41,,Q
212,1,2,James 212,female,51.0,2,2,TKT000212,24.53,D12,C
213,1,2,Sophia 213,female,69.6,1,3,TKT000213,58.09,E31,S
214,1,2,John 214,female,23.4,0,3,TKT000214,71.15,A10,S
215,0,1,Mia 215,male,1.1,2,0,TKT000215,187.72,,Q
216,1,2,William 216,female,53.5,0,0,TKT000216,57.54,D12,S
217,0,2,Ava 217,male,47.9,3,1,TKT000217,20.48,,C
218,1,1,William 218,male,58.7,1,0,TKT000218,112.67,B45,Q
219,0,3,William 219,male,35.8,3,1,TKT000219,19.41,,S
220,1,1,Mary 220,male,47.6,1,2,TKT000220,242.65,,Q
221,0,3,Noah 221,male,17.2,1,3,TKT000221,27.62,,C
222,1,1,Ava 222,male,47.9,4,3,TKT000222,245.54,,C
223,1,2,Noah 223,male,61.9,3,2,TKT000223,35.73,,Q
224,1,2,Noah 224,female,7.5,1,2,TKT000224,36.65,B45,C
225,0,2,John 225,male,58.7,2,1,TKT000225,25.17,E31,S
226,0,3,David 226,male,1.9,1,2,TKT000226,33.79,,S
227,1,3,Liam 227,female,61.9,4,0,TKT000227,7.24,,C
228,1,3,Olivia 228,female,40.5,0,1,TKT000228,8.6,,Q
229,1,1,James 229,male,2.0,3,1,TKT000229,122.8,A10,C
230,0,2,Robert 230,male,26.3,4,0,TKT000230,27.16,,C
231,0,2,Noah 231,male,62.1,2,1,TKT000231,47.4,,C
232,0,3,Mia 232,female,79.8,3,0,TKT000232,10.27,,S
233,1,3,Mary 233,female,70.3,1,1,TKT000233,30.45,,C
234,1,1,Michael 234,female,12.2,0,0,TKT000234,58.78,C23,Q
235,0,3,David 235,male,6.9,2,3,TKT000235,13.29,,Q
236,1,2,Sophia 236,female,19.5,0,2,TKT000236,26.54,C23,S
237,1,2,Ava 237,female,68.3,2,1,TKT000237,38.25,B45,S
238,0,2,Liam 238,male,4.9,4,1,TKT000238,30.43,E31,S
239,1,1,William 239,female,12.0,0,2,TKT000239,216.07,C23,S
240,1,1,Alice 240,male,52.0,4,3,TKT000240,219.46,A10,Q
241,1,2,Mia 241,female,,1,0,TKT000241,32.88,,Q
242,0,3,Robert 242,male,33.5,4,1,TKT000242,9.8,,Q
243,0,2,Alice 243,male,29.4,0,2,TKT000243,74.76,,Q
244,1,1,Mary 244,male,62.5,1,1,TKT000244,248.31,B45,C
245,1,1,Emma 245,male,78.6,2,0,TKT000245,237.04,,Q
246,1,3,David 246,female,45.5,1,3,TKT000246,22.23,,S
247,1,1,Liam 247,male,18.3,1,2,TKT000247,50.14,,S
248,0,1,Olivia 248,male,73.5,0,2,TKT000248,222.13,D12,C
249,1,1,Liam 249,female,58.9,4,2,TKT000249,177.85,E31,S
250,1,2,Noah 250,male,55.4,4,0,TKT000250,76.93,,S
251,1,3,Alice 251,female,45.7,0,2,TKT000251,39.38,,C
252,0,2,Alice 252,male,55.8,3,3,TKT000252,63.22,D12,C
253,0,3,Noah 253,female,66.5,0,2,TKT000253,20.8,,S
254,1,2,Emma 254,female,6.9,4,3,TKT000254,63.92,A10,Q
255,0,2,Liam 255,male,14.0,4,2,TKT000255,26.08,,Q
256,1,2,Ava 256,female,4.9,4,3,TKT000256,29.22,C23,S
257,0,1,Mary 257,male,51.4,4,3,TKT000257,73.1,C23,S
258,1,2,Noah 258,female,36.2,0,0,TKT000258,33.57,,Q
259,1,3,James 259,female,60.8,3,1,TKT000259,23.29,,C
260,1,1,Mary 260,female,68.5,3,1,TKT000260,164.24,B45,S
261,0,1,Mia 261,male,34.4,0,0,TKT000261,249.45,,C
262,1,3,James 262,female,22.8,3,0,TKT000262,26.81,,C
263,1,1,Mia 263,male,47.0,3,2,TKT000263,71.13,C23,C
264,1,3,John 264,female,4.0,3,2,TKT000264,29.28,,Q
265,1,1,Ava 265,male,73.7,1,1,TKT000265,213.48,A10,C
266,1,2,Ava 266,female,33.9,2,0,TKT000266,32.68,E31,Q
267,1,1,Ava 267,male,41.0,1,0,TKT000267,220.26,,S
268,0,2,Mia 268,male,,0,0,TKT000268,42.1,,S
269,0,2,David 269,female,15.0,0,3,TKT000269,29.81,A10,S
270,0,3,James 270,male,17.9,0,0,TKT000270,27.81,,C
271,0,3,Liam 271,male,64.3,2,3,TKT000271,29.95,,C
272,1,2,James 272,female,37.9,4,2,TKT000272,43.83,C23,C
273,0,2,Robert 273,male,79.1,1,1,TKT000273,35.67,C23,S
274,1,3,Sophia 274,female,12.1,3,0,TKT000274,36.74,,Q
275,0,2,Ava 275,male,18.6,4,1,TKT000275,74.39,B45,C
276,0,2,Mary 276,male,21.4,1,2,TKT000276,30.98,,S
277,1,2,Olivia 277,female,27.2,4,0,TKT000277,71.07,E31,C
278,0,3,Robert 278,male,54.8,2,3,TKT000278,10.28,,Q
279,1,1,David 279,female,57.5,1,1,TKT000279,176.21,,Q
280,1,2,John 280,male,62.6,4,1,TKT000280,45.76,A10,Q
281,1,1,Mia 281,female,60.8,2,2,TKT000281,53.58,,S
282,1,2,Emma 282,male,25.2,3,1,TKT000282,76.91,E31,C
283,0,2,John 283,female,14.0,4,1,TKT000283,33.46,,S
284,0,3,William 284,female,4.0,0,0,TKT000284,39.81,,S
285,0,2,Sophia 285,male,10.8,0,2,TKT000285,32.33,,Q
286,0,2,Robert 286,male,9.3,2,1,TKT000286,26.84,,C
287,0,2,Mary 287,female,44.3,4,3,TKT000287,34.07,,S
288,0,3,David 288,male,58.2,3,0,TKT000288,39.21,,S
289,0,1,Alice 289,male,29.5,1,2,TKT000289,73.18,,C
290,1,3,Michael 290,female,58.9,2,3,TKT000290,19.01,,Q
291,1,2,Sophia 291,female,64.0,4,3,TKT000291,23.52,,Q
292,1,1,Mia 292,female,62.6,3,0,TKT000292,222.52,D12,C
293,1,1,William 293,female,52.7,2,0,TKT000293,223.67,B45,C
294,0,2,William 294,male,54.4,1,3,TKT000294,53.5,,C
295,1,1,Ava 295,male,26.3,1,0,TKT000295,105.63,,C
296,1,3,Mary 296,female,68.7,3,3,TKT000296,27.87,,S
297,0,1,Ava 297,male,77.1,0,1,TKT000297,162.47,,C
298,1,3,William 298,female,48.4,1,0,TKT000298,8.41,,C
299,1,3,Alice 299,female,24.1,3,0,TKT000299,10.75,,C
300,1,1,Mia 300,male,68.3,4,0,TKT000300,214.91,A10,C
301,1,3,Olivia 301,female,40.8,3,1,TKT000301,20.15,,Q
302,0,3,Sophia 302,male,9.2,4,1,TKT000302,35.85,,C
303,1,2,Liam 303,female,36.8,4,2,TKT000303,62.0,,Q
304,0,1,James 304,male,57.4,2,0,TKT000304,76.53,,C
305,1,3,Ava 305,female,53.7,3,0,TKT000305,15.01,,Q
306,1,1,Ava 306,male,5.2,0,2,TKT000306,103.4,B45,S
307,0,2,James 307,male,9.1,2,0,TKT000307,71.89,B45,C
308,1,2,Ava 308,female,78.1,1,2,TKT000308,20.78,D12,Q
309,1,3,James 309,male,24.2,0,3,TKT000309,11.08,,S
310,1,2,Alice 310,female,11.3,2,0,TKT000310,39.83,,Q
311,1,2,Alice 311,female,44.5,3,3,TKT000311,51.52,E31,S
312,1,1,Ava 312,female,53.4,0,0,TKT000312,108.71,E31,Q
313,0,2,Sophia 313,female,51.7,2,2,TKT000313,73.14,A10,S
314,1,3,Mary 314,female,36.2,1,0,TKT000314,22.99,,Q
315,0,1,William 315,male,62.1,0,1,TKT000315,70.79,D12,S
316,1,3,Robert 316,female,7.9,2,3,TKT000316,25.12,,C
317,1,3,Mary 317,female,26.0,4,0,TKT000317,30.21,,Q
318,0,2,Ava 318,male,9.4,0,3,TKT000318,25.19,D12,S
319,0,1,John 319,male,63.9,4,1,TKT000319,176.81,C23,S
320,1,1,Sophia 320,male,32.1,4,1,TKT000320,67.03,B45,S
321,1,1,Michael 321,male,21.0,4,0,TKT000321,184.2,E31,C
322,0,2,Olivia 322,male,58.3,0,1,TKT000322,27.69,,C
323,1,2,John 323,female,53.1,2,1,TKT000323,54.01,B45,S
324,1,2,James 324,female,11.6,0,1,TKT000324,47.77,,Q
325,0,2,John 325,male,12.1,4,0,TKT000325,73.18,,Q
326,1,3,Alice 326,female,3.9,2,3,TKT000326,27.89,,S
327,1,1,William 327,female,41.3,1,1,TKT000327,150.43,E31,C
328,1,1,Mary 328,male,45.7,2,2,TKT000328,196.4,B45,S
329,0,3,William 329,male,72.7,2,0,TKT000329,6.63,,Q
330,1,3,Ava 330,female,44.0,0,2,TKT000330,27.87,,C
331,0,3,Mia 331,male,65.6,1,3,TKT000331,5.23,,S
332,1,1,Noah 332,male,23.2,2,0,TKT000332,81.47,D12,C
333,1,2,Mia 333,female,13.7,4,1,TKT000333,54.41,A10,S
334,0,2,Mary 334,male,41.8,1,3,TKT000334,58.26,C23,Q
335,1,2,Alice 335,female,66.6,2,3,TKT000335,69.23,C23,Q
336,1,1,Mary 336,male,11.4,1,3,TKT000336,154.54,E31,Q
337,0,3,Mia 337,male,10.3,3,3,TKT000337,33.96,,C
338,0,3,Liam 338,male,19.1,4,0,TKT000338,25.62,,C
339,0,2,Liam 339,male,19.4,0,0,TKT000339,72.61,,Q
340,0,2,Ava 340,male,55.3,4,3,TKT000340,29.29,,Q
341,0,3,James 341,female,54.8,3,2,TKT000341,17.96,,C
342,1,3,Mary 342,female,11.9,1,3,TKT000342,38.22,,C
343,0,1,Emma 343,male,51.2,0,0,TKT000343,144.33,,Q
344,1,2,John 344,female,42.2,1,2,TKT000344,76.74,D12,S
345,0,3,Alice 345,male,56.2,0,2,TKT000345,27.93,,C
346,1,3,David 346,female,47.3,4,2,TKT000346,8.16,,C
347,1,1,David 347,female,16.4,2,0,TKT000347,102.22,,Q
348,1,3,Noah 348,female,46.4,2,3,TKT000348,31.95,,Q
349,1,3,Liam 349,female,39.1,1,2,TKT000349,12.71,,C
350,1,3,Emma 350,female,56.4,0,1,TKT000350,31.21,,C
351,1,2,Liam 351,female,46.3,1,2,TKT000351,75.82,B45,S
352,1,1,Olivia 352,male,67.1,0,0,TKT000352,205.79,D12,C
353,0,3,James 353,female,72.0,2,3,TKT000353,31.75,,S
354,1,1,Liam 354,male,34.4,4,3,TKT000354,119.46,A10,C
355,1,1,David 355,male,31.0,3,2,TKT000355,122.32,,C
356,0,2,William 356,male,34.1,1,0,TKT000356,44.04,E31,Q
357,1,1,Sophia 357,female,68.6,3,1,TKT000357,210.01,,Q
358,1,2,Ava 358,female,45.4,0,3,TKT000358,61.43,D12,Q
359,0,2,Olivia 359,female,45.3,4,1,TKT000359,27.27,B45,C
360,1,2,Ava 360,female,39.5,1,2,TKT000360,42.86,B45,C
361,1,1,Mia 361,female,28.1,3,2,TKT000361,180.6,,Q
362,1,2,Alice 362,female,68.5,3,0,TKT000362,35.1,B45,S
363,0,2,William 363,male,3.1,3,2,TKT000363,25.0,,S
364,1,3,Ava 364,male,50.5,2,3,TKT000364,28.22,,C
365,1,3,William 365,female,77.6,4,3,TKT000365,27.09,,Q
366,1,2,James 366,female,18.9,1,2,TKT000366,44.73,,C
367,0,3,David 367,female,,4,1,TKT000367,20.07,,S
368,1,1,David 368,female,45.3,0,3,TKT000368,82.65,,Q
369,0,3,Noah 369,male,72.9,2,3,TKT000369,31.0,,S
370,1,1,Alice 370,male,9.7,0,0,TKT000370,140.55,,S
371,0,2,David 371,male,57.5,3,2,TKT000371,29.04,,C
372,1,2,Mia 372,male,60.3,2,3,TKT000372,43.55,,S
373,0,3,Noah 373,male,61.9,0,1,TKT000373,21.13,,C
374,1,3,Mary 374,female,75.0,2,3,TKT000374,24.24,,Q
375,1,1,Noah 375,female,5.1,2,0,TKT000375,244.65,,C
376,0,1,Emma 376,male,46.9,0,0,TKT000376,81.0,E31,C
377,0,3,Emma 377,male,9.5,3,1,TKT000377,27.56,,S
378,1,2,Alice 378,female,20.8,4,2,TKT000378,53.54,E31,C
379,1,2,John 379,female,48.3,4,3,TKT000379,46.96,D12,Q
380,0,1,William 380,male,29.8,3,1,TKT000380,62.67,,Q
381,1,2,John 381,female,26.4,1,0,TKT000381,22.63,,C
382,0,1,Robert 382,male,,4,0,TKT000382,147.98,,S
383,1,3,Mia 383,male,71.3,3,2,TKT000383,24.53,,Q
384,1,3,Mary 384,male,4.2,0,1,TKT000384,38.62,,Q
385,1,1,Emma 385,female,52.9,3,3,TKT000385,239.5,E31,S
386,0,1,Ava 386,male,40.9,2,3,TKT000386,169.98,C23,Q
387,1,3,Emma 387,female,20.0,3,3,TKT000387,31.06,,C
388,0,3,John 388,male,,2,1,TKT000388,36.16,,S
389,0,1,Alice 389,female,75.5,2,2,TKT000389,164.13,B45,Q
